"r","10","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/commonCHarCount.py",,"PythonRunner",,"1601664902510","commonCHarCount.py"
"o","10",,"3
",,"stdout","1601664902888",
"o","10",,"
Process finished with exit code 0
",,"system","1601664902928",
"r","11","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/commonCHarCount.py",,"PythonRunner",,"1601665780972","commonCHarCount.py"
"o","11",,"3
",,"stdout","1601665781550",
"o","11",,"
Process finished with exit code 0
",,"system","1601665781584",
"r","12","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665798372","isLucky.py"
"o","12",,"Traceback (most recent call last):
",,"stderr","1601665799028",
"o","12",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 16, in <module>
",,"stderr","1601665799028",
"o","12",,"    isLucky(1230)
",,"stderr","1601665799028",
"o","12",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 6, in isLucky
",,"stderr","1601665799028",
"o","12",,"    for i in range(j / 2):
",,"stderr","1601665799028",
"o","12",,"TypeError: 'float' object cannot be interpreted as an integer
",,"stderr","1601665799028",
"o","12",,"
Process finished with exit code 1
",,"system","1601665799070",
"r","13","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665818280","isLucky.py"
"o","13",,"Traceback (most recent call last):
",,"stderr","1601665818647",
"o","13",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 16, in <module>
",,"stderr","1601665818647",
"o","13",,"    isLucky(1230)
",,"stderr","1601665818647",
"o","13",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 7, in isLucky
",,"stderr","1601665818647",
"o","13",,"    s += n[i]
",,"stderr","1601665818648",
"o","13",,"TypeError: unsupported operand type(s) for +=: 'int' and 'str'
",,"stderr","1601665818648",
"o","13",,"
Process finished with exit code 1
",,"system","1601665818688",
"r","14","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665856384","isLucky.py"
"o","14",,"Traceback (most recent call last):
",,"stderr","1601665856771",
"o","14",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 16, in <module>
",,"stderr","1601665856771",
"o","14",,"    isLucky(1230)
",,"stderr","1601665856771",
"o","14",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 8, in isLucky
",,"stderr","1601665856771",
"o","14",,"    p += int(n[j])
",,"stderr","1601665856771",
"o","14",,"IndexError: string index out of range
",,"stderr","1601665856771",
"o","14",,"
Process finished with exit code 1
",,"system","1601665856811",
"r","15","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665865242","isLucky.py"
"o","15",,"Traceback (most recent call last):
",,"stderr","1601665865616",
"o","15",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 16, in <module>
",,"stderr","1601665865616",
"o","15",,"    isLucky(1230)
",,"stderr","1601665865616",
"o","15",,"  File ""/Users/nikhilkalyan/CodeSignals-Practice/isLucky.py"", line 8, in isLucky
",,"stderr","1601665865616",
"o","15",,"    p += int(n[j])
",,"stderr","1601665865616",
"o","15",,"IndexError: string index out of range
",,"stderr","1601665865616",
"o","15",,"
Process finished with exit code 1
",,"system","1601665865666",
"r","16","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665890859","isLucky.py"
"o","16",,"
Process finished with exit code 0
",,"system","1601665891292",
"r","17","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665902896","isLucky.py"
"o","17",,"True
",,"stdout","1601665903251",
"o","17",,"
Process finished with exit code 0
",,"system","1601665903302",
"r","18","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601665916779","isLucky.py"
"o","18",,"False
",,"stdout","1601665917143",
"o","18",,"
Process finished with exit code 0
",,"system","1601665917182",
"r","19","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/isLucky.py",,"PythonRunner",,"1601666805179","isLucky.py"
"o","19",,"False
",,"stdout","1601666805786",
"o","19",,"
Process finished with exit code 0
",,"system","1601666805826",
"r","20","""/Users/nikhilkalyan/PycharmProjects/SSW 810/venv/bin/python"" /Users/nikhilkalyan/CodeSignals-Practice/sortbyHeights.py",,"PythonRunner",,"1601666819174","sortbyHeights.py"
"o","20",,"[-1, 150, 170, -1, -1, 160, 180, 190]
",,"stdout","1601666819741",
"o","20",,"
Process finished with exit code 0
",,"system","1601666819782",
